# Matrix of T_2 (good prime: 2 does not divide 143) on the S_4(Gamma_0(143)) basis, 40 x 40.
# SCALED BY 1041 to clear denominators; divide by it to recover the operator.
# SCALE 1041
#
row,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40
F1,0,0,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,0,0,0,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,1041,0,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,0,1041,0,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5,0,0,0,0,0,0,8328,0,-4164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,0,0,0,0,0,0,0,8328,0,-4164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,0,0,0,0,1041,0,-2082,0,-5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8,0,0,0,0,0,1041,0,-2082,0,-5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,-1041,0,-2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F10,0,0,0,0,0,0,0,-1041,0,-2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0,0,0,8328,0,0,0,0,0,0,0,0,0,0,0,0,0,3373637,-377161,-1832302,1844287,-1042797,-2661763,-1428428,1694775,-1700525,4156372,-132207,2446766,264230,13620509,5296301
F12,0,0,0,0,0,0,0,0,0,0,1041,0,0,8328,0,0,0,0,0,0,0,0,0,0,0,572129,-96412,-269992,383896,-274200,-496216,-239819,439131,-329960,769261,1041,368771,59924,2550848,1082618
F13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,0,0,0,0,0,0,0,0,0,93549,-39849,-20757,60342,-19209,-95277,-22560,38571,-26475,12504,1041,-4026,8307,296121,60111
F14,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,8328,0,0,0,0,0,0,0,-378180,72102,171942,-238044,164394,326034,146106,-257124,185967,-431436,0,-216636,-23655,-1583508,-611718
F15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,0,0,0,0,0,23770,-896,-314,14456,-27858,-28046,-10330,38694,-18478,42836,2082,17224,1030,132556,71590
F16,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,8328,0,0,0,-288346,46565,131198,-176096,124152,247712,114535,-194937,148684,-341855,2082,-176272,-20368,-1212721,-484465
F17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,0,121979,-22519,-67798,83356,-57186,-95776,-48608,89412,-62204,159826,1041,81485,7100,532679,210383
F18,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,27561,-10518,1440,16428,-15822,-24972,-3039,21162,-4932,1464,3123,-6066,-4644,81096,21558
F19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126654,-15558,-47952,67554,-52548,-108039,-49434,76680,-59163,141960,-2082,77286,1410,514944,195492
F20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,95618,-12736,-48334,54388,-34011,-78472,-37826,62076,-45380,118126,-1041,65180,2000,399128,155504
F21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-391102,62606,184508,-235112,191766,328400,156769,-278178,181324,-455084,-2082,-231808,-8296,-1649770,-640750
F22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,-43328,3220,25657,-20461,10914,31759,17930,-14592,25481,-49972,2082,-34052,-1034,-164984,-62024
F23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90874,-17846,-41504,59408,-74052,-75668,-27220,94104,-33292,100028,16656,48250,-11612,403054,150286
F24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,-18428,5926,4498,-14170,16968,17347,4490,-23508,6785,-17716,-2082,-4556,12265,-84122,-32282
F25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-136720,22322,63716,-82808,63546,114266,52771,-94398,63502,-158852,0,-83470,-4120,-576028,-215572
F26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,-18962,3052,8812,-12025,9204,16741,8576,-14754,11216,-29188,0,-15728,-2012,-88340,-39362
F27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66586,11714,33044,-42974,31416,55298,26206,-46926,31558,-78440,0,-41500,-2224,-285082,-113242
F28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,46939,-8828,-20168,30560,-28140,-41276,-17578,38481,-23296,54818,1041,25933,-680,206494,81376
F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30047,-6133,-10066,18244,-18666,-27040,-10922,26766,-14156,32320,1041,15311,-2428,129557,50873
F30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,43888,-8768,-21662,28142,-21432,-36656,-16468,31698,-21250,50072,0,25486,1900,184921,71944
F31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25265,-6301,-13378,18352,-16212,-19156,-8825,22440,-10724,28120,1041,14897,-1324,110429,42305
F32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,-131236,22034,59228,-82028,69240,110828,50566,-95568,60760,-153560,0,-85072,-4012,-560338,-219850
F33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17197,3077,8363,-10430,10611,13808,6436,-15585,7384,-22664,-1041,-12184,1145,-76075,-29065
F34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,24792,-2589,-14754,12000,-6090,-19260,-10941,10107,-12396,31047,-1041,20277,60,98127,36603
F35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8225,-1069,-2287,4876,-6531,-8749,-2600,8301,-3245,9016,1041,2360,-2245,38105,13493
F36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,116900,-22414,-51154,74440,-63144,-103306,-43022,88212,-50816,134344,2082,65348,2246,500912,194918
