# Matrix of U_13 (13 divides the level, so U_p, NOT T_p) on the S_4(Gamma_0(143)) basis, 40 x 40.
# SCALED BY 1041 to clear denominators; divide by it to recover the operator.
# SCALE 1041
#
row,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40
F1,62460,1041,-41640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,-2287077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,-20820,0,20820,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,0,0,-2287077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5,0,0,0,0,-9369,0,-20820,0,-29148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,0,0,0,0,0,-9369,0,-20820,0,-29148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,0,0,0,0,-3123,0,2082,0,21861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8,0,0,0,0,0,-3123,0,2082,0,21861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,-1041,0,5205,0,-6246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F10,0,0,0,0,0,-1041,0,5205,0,-6246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0,0,0,0,-787256,-132207,-1302058,-370759,-3113165,-1190508,1836195,-1911796,-852540,2776374,175929,6647345,710014,2959152,2003536,10822149,5710813,-3240715,11437693,4726160,-15067336,938461,-14057059,0,10834868,-4043941,3234817,-6007498
F12,0,0,0,0,0,0,0,0,0,0,0,0,-168152,1041,-269938,-46738,-583598,-221118,317628,-367534,-165072,499509,0,1304759,45706,692439,216100,2017662,1033966,-500086,2064838,918845,-2712310,217630,-2520160,175929,1846310,-146068,465958,-1031884
F13,0,0,0,0,0,0,0,0,0,0,0,0,-8154,1041,-29376,5226,-64998,-32520,61161,-15267,-10332,41694,0,115977,29946,65802,-41724,253830,173274,-203853,224961,79503,-302388,2775,-441909,0,55800,-97860,-4692,-102486
F14,0,0,0,0,0,0,0,0,0,0,0,0,94278,0,162846,22614,365250,142314,-215964,211458,100056,-317502,0,-766962,-23436,-423270,-77964,-1299756,-659274,358866,-1290198,-531756,1660830,-75087,1662390,0,-1171842,204267,-285726,686340
F15,0,0,0,0,0,0,0,0,0,0,0,0,-11806,2082,-20642,-3806,-32956,-12672,12456,-19448,-8535,24120,0,60502,-21790,54792,36044,131868,34499,43570,86111,59044,-139160,34022,-138728,0,26056,98644,42107,-85508
F16,0,0,0,0,0,0,0,0,0,0,0,0,73735,2082,127448,22103,279880,105345,-159024,166208,77685,-238659,0,-608686,-15788,-302985,-109232,-1001613,-526310,272174,-970043,-412783,1310333,-82928,1194917,0,-825178,127379,-262121,465932
F17,0,0,0,0,0,0,0,0,0,0,0,0,-33101,1041,-52147,-5365,-123032,-43659,74340,-82858,-33708,105027,0,266522,2248,125730,6886,431457,229420,-88987,435379,193850,-615799,28726,-512683,0,447116,-58399,116203,-166960
F18,0,0,0,0,0,0,0,0,0,0,0,0,-3756,3123,-11160,2562,-18156,-9558,12246,-9594,-2976,20121,0,39480,-8826,29841,-39396,89118,27948,-38052,31548,26394,-48264,7512,-70296,0,3624,22170,14700,-42522
F19,0,0,0,0,0,0,0,0,0,0,0,0,-29826,-2082,-53100,-11820,-119733,-45444,64614,-66939,-30816,99582,0,248898,6798,146502,58731,445185,208602,-127392,412473,177903,-578076,28422,-514398,0,386496,-95964,123639,-214848
F20,0,0,0,0,0,0,0,0,0,0,0,0,-23561,-1041,-40597,-7552,-95768,-36168,52728,-53368,-24729,82896,0,202973,2422,95487,34372,323022,156292,-73246,341164,142988,-450913,24220,-373687,0,306569,-59410,59506,-177112
F21,0,0,0,0,0,0,0,0,0,0,0,0,99076,-2082,172856,21482,395680,147210,-207906,235628,105270,-321900,0,-787546,8500,-405828,-40124,-1372566,-635624,359114,-1295858,-567439,1869800,-110708,1647662,0,-1189480,117890,-257066,652280
F22,0,0,0,0,0,0,0,0,0,0,0,0,8270,2082,14650,4504,37628,16392,-24204,23827,10731,-31248,0,-79952,-20392,-29568,-28426,-139089,-59146,37762,-141958,-53567,200038,-1966,165694,0,-138662,58645,-47710,85171
