# Integral basis of S_4(Gamma_0(143)), dim 40, q^0..q^140.
# PARI mfinit([143,4],1) / mfcoefs. Rows are coefficients of q^n.
#
row,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,2,0,3,0,-4,0,-2,0,30,0,4,144,12,-8,0,84,182,-108,44,284,0,-208,212,408,160,336,88,72,16,0,-36,-984,958,156,-176,228,-8,908
2,2,0,8,0,-4,0,34,0,12,0,0,384,-8,84,-108,316,-208,1560,336,168,0,-1048,156,228,908,1284,1160,3006,-1286,-1536,-1906,792,8,1562,-2892,0,-3868,-2742,-748,-2636
3,-2,0,-26,0,-2,0,12,0,138,0,4,-8,992,284,212,336,16,-984,-68,908,-44,5438,0,-1906,-1012,-710,124,-4084,-832,-4332,2440,-550,-3548,4856,2060,-598,10240,-9700,3632,-7172
4,-8,0,4,0,10,0,-80,0,-162,0,144,84,284,3480,72,-1048,228,1284,1550,-1536,440,1818,0,-2742,-4332,10728,468,5276,-736,1056,-9700,0,-1394,-5364,3000,2340,-1086,2284,10872,7120
5,2,0,50,0,-10,0,42,0,16,0,12,-108,212,72,4708,908,412,-672,-1336,-2892,-396,-4332,-416,-372,2560,-288,-112,-4256,-1768,21000,2756,1100,1148,-144,1632,520,8372,2372,4584,-2900
6,-26,0,-56,0,12,0,-178,0,-328,0,-8,316,336,-1048,908,13374,-1906,1562,-4084,-2636,-550,7544,-598,-9572,-7172,-4852,-4032,6038,4592,7120,-6946,-1584,6812,56772,-1900,-520,10120,-32342,2488,-25132
7,20,0,-4,0,-22,0,154,0,-212,0,0,-208,16,228,412,-1906,12336,-1078,2440,-372,-176,-9700,728,2860,2756,460,6760,-1330,9248,2372,-6832,-1408,-9688,-17094,-3920,416,-5880,83384,-16960,8584
8,-12,0,-72,0,-48,0,130,0,588,0,84,1560,-984,1284,-672,1562,-1078,26088,2588,288,0,-5364,1092,2284,-144,6992,7260,14652,-11808,-21516,-17094,8272,1464,19158,-26732,1248,-21160,-21664,-768,-52344
9,44,0,92,0,57,0,-220,0,316,0,182,336,-68,1550,-1336,-4084,2440,2588,32110,-4256,968,6582,0,-1330,14096,2252,3236,10120,-15336,-18980,-5448,4620,-9732,-47728,-3042,4212,-34124,24236,15984,29668
10,50,0,104,0,42,0,-180,0,-202,0,-108,168,908,-1536,-2892,-2636,-372,288,-4256,58664,1100,7120,520,5668,-2900,-14604,-2748,-29668,9452,-39368,8584,-4752,15336,-52344,19172,-9984,5152,16476,2700,98636
11,-22,0,-22,0,54,3,272,-4,76,-2,44,0,-44,440,-396,-550,-176,0,968,1100,3630,-1232,1430,-1408,-5588,4752,1496,4620,352,-1584,-6072,0,-2156,-4400,528,1716,-8228,-2398,6468,2640
12,-40,0,44,0,-162,0,684,0,394,0,284,-1048,5438,1818,-4332,7544,-9700,-5364,6582,7120,-1232,120260,-520,-32342,-17036,17110,-3760,-80400,-35580,-38776,30392,-8800,-13318,130716,42656,1404,82976,-202740,12820,-86464
13,80,2,-40,2,-13,0,-78,0,-156,0,0,156,0,0,-416,-598,728,1092,0,520,1430,-520,5070,416,-5772,1248,3744,4212,1092,-6656,-12324,1716,-1976,6188,2496,0,4368,13130,6032,16536
14,-4,0,32,0,154,0,-272,0,-258,0,-208,228,-1906,-2742,-372,-9572,2860,2284,-1330,5668,-1408,-32342,416,182072,8584,-8352,6488,43756,1496,16476,-2580,-3806,44066,-203764,-26560,18954,-156644,77064,-20552,22716
15,-194,0,-266,0,16,0,-202,0,-604,0,212,908,-1012,-4332,2560,-7172,2756,-144,14096,-2900,-5588,-17036,-5772,8584,146824,-17688,-54800,29668,-19528,78156,-1132,2640,10084,-29088,-34848,16536,-62596,668,-12320,-152172
16,-8,0,-200,0,50,0,-592,0,-338,0,408,1284,-710,10728,-288,-4852,460,6992,2252,-14604,4752,17110,1248,-8352,-17688,216520,15516,74544,-3008,-8184,-126164,-7810,-36188,18896,-51816,8918,-53330,-76884,143988,-53808
17,-124,0,-52,0,96,0,-520,0,-58,0,160,1160,124,468,-112,-4032,6760,7260,3236,-2748,1496,-3760,3744,6488,-54800,15516,160092,25768,-25168,-23344,10280,-880,-25592,5964,30812,2964,-3156,-10676,3200,64428
18,92,0,272,0,-220,0,580,0,240,0,336,3006,-4084,5276,-4256,6038,-1330,14652,10120,-29668,4620,-80400,4212,43756,29668,74544,25768,444832,-54556,-44992,-208106,33704,68632,-19844,-116088,16744,-264036,55930,75876,34764
19,72,0,432,0,-210,0,316,0,1488,0,88,-1286,-832,-736,-1768,4592,9248,-11808,-15336,9452,352,-35580,1092,1496,-19528,-3008,-25168,-54556,203512,-5336,20252,-9504,24640,-35166,-11552,-33280,30336,89718,58840,190580
20,88,0,-92,0,-100,0,562,0,1008,0,72,-1536,-4332,1056,21000,7120,2372,-21516,-18980,-39368,-1584,-38776,-6656,16476,78156,-8184,-23344,-44992,-5336,468496,668,-16060,-62076,4304,84144,-21632,38960,159020,-76624,-96808
21,76,0,-140,0,-212,0,-258,0,-2440,0,16,-1906,2440,-9700,2756,-6946,-6832,-17094,-5448,8584,-6072,30392,-12324,-2580,-1132,-126164,10280,-208106,20252,668,433780,-1848,21584,37464,81344,-35360,279304,41446,-250720,-80196
22,-22,0,-88,0,272,-4,-188,34,-1728,12,0,792,-550,0,1100,-1584,-1408,8272,4620,-4752,0,-8800,1716,-3806,2640,-7810,-880,33704,-9504,-16060,-1848,46464,17292,22352,-22660,22880,-6578,-28160,-35156,-88176
23,-98,0,-314,0,100,0,476,0,1468,0,-36,8,-3548,-1394,1148,6812,-9688,1464,-9732,15336,-2156,-13318,-1976,44066,10084,-36188,-25592,68632,24640,-62076,21584,17292,351504,4936,16028,29276,-161004,-130952,38432,27364
24,252,0,456,0,588,0,-1634,0,-936,0,-984,1562,4856,-5364,-144,56772,-17094,19158,-47728,-52344,-4400,130716,6188,-203764,-29088,18896,5964,-19844,-35166,4304,37464,22352,4936,814468,49392,-8320,186576,-333604,-88464,-465088
25,136,0,232,0,-313,0,236,0,16,0,958,-2892,2060,3000,1632,-1900,-3920,-26732,-3042,19172,528,42656,2496,-26560,-34848,-51816,30812,-116088,-11552,84144,81344,-22660,16028,49392,666194,-26260,232312,73396,-71800,460156
26,-40,2,80,8,-78,0,208,0,754,0,156,0,-598,2340,520,-520,416,1248,4212,-9984,1716,1404,0,18954,16536,8918,2964,16744,-33280,-21632,-35360,22880,29276,-8320,-26260,64896,-36738,-40768,21840,-102804
27,-182,0,-110,0,370,0,-84,0,822,0,-176,-3868,10240,-1086,8372,10120,-5880,-21160,-34124,5152,-8228,82976,4368,-156644,-62596,-53330,-3156,-264036,30336,38960,279304,-6578,-161004,186576,232312,-36738,961352,-161428,-70400,5532
28,-128,0,88,0,-96,0,802,0,2956,0,228,-2742,-9700,2284,2372,-32342,83384,-21664,24236,16476,-2398,-202740,13130,77064,668,-76884,-10676,55930,89718,159020,41446,-28160,-130952,-333604,73396,-40768,-161428,1843482,29568,402940
29,144,0,-192,0,-126,0,1204,0,-1984,0,-8,-748,3632,10872,4584,2488,-16960,-768,15984,2700,6468,12820,6032,-20552,-12320,143988,3200,75876,58840,-76624,-250720,-35156,38432,-88464,-71800,21840,-70400,29568,928332,70744
30,-266,0,-920,0,-202,0,1136,0,2154,0,908,-2636,-7172,7120,-2900,-25132,8584,-52344,29668,98636,2640,-86464,16536,22716,-152172,-53808,64428,34764,190580,-96808,-80196,-88176,27364,-465088,460156,-102804,5532,402940,70744,1951564
31,-34,0,134,0,110,0,-1312,0,-720,0,56,848,1524,-2076,-4796,-31100,10112,-13456,22548,59212,-5720,2256,-14300,-29060,26100,-96832,-24848,-49340,28680,-33360,96872,45936,80548,-176684,28068,-32656,68332,126964,-101624,118308
32,-104,0,160,0,-208,0,882,0,-1268,0,612,1512,3020,6992,-9228,-1066,272,93640,53840,-12792,-7810,22992,182,-91476,-52656,180080,71496,-82292,3608,-141792,-74868,49720,-43116,191324,-40788,3432,-24240,-56378,-69032,-239196
33,22,0,286,0,76,-2,-1728,12,756,138,-44,-550,2156,-1232,-5588,4620,-6072,-4400,-9416,2640,484,37840,3432,-1848,-32164,32208,6072,-21428,-25124,-43472,-4312,-968,-15180,65626,59224,6864,38500,-151954,15224,87824
34,-52,0,-352,0,-520,0,1866,0,2332,0,1160,1748,-4032,16540,-2748,-2768,6488,19260,25768,-24240,-880,-26292,2964,43404,64428,129576,32672,171720,-230280,-56580,-127560,74624,-3224,-3096,12480,104312,-71480,-8908,-70728,-1033112
35,-172,0,284,0,198,0,-580,0,166,0,412,-372,2756,2372,-3920,8584,12896,19452,-12256,-52560,9416,668,20124,-199536,83344,113676,-58204,-70152,-29872,101896,16928,2200,-168296,334268,164216,-53352,100028,88308,110580,-729900
36,-80,0,-8,0,124,0,-1400,0,-5028,0,1550,5276,6582,26300,-18980,-80400,24236,96048,187952,-44992,25960,-24196,16744,55930,-78004,16908,145832,328772,-90596,-558368,-423328,102586,-49894,-585900,16222,102830,-420540,213116,208980,157996
37,54,0,6,0,78,0,802,0,1312,0,68,-2920,-1092,788,-2016,18788,8324,11956,17136,-73140,-13200,34568,-4680,-107192,92832,11588,-137392,-9536,32960,24876,166996,47256,57948,448684,111224,61360,163596,352144,-214232,-204812
38,432,0,1008,0,316,0,-3800,0,-3716,0,-1286,-32,4592,-22096,9452,-42236,1496,-8896,-54556,-19480,-9504,1570,-33280,163702,190580,-90856,-230280,-213284,-61132,193672,313964,-55572,125086,-371996,-379034,1300,155138,-242608,-213056,-332632
39,400,-2,-440,-26,-156,0,754,0,-520,0,0,-598,0,-520,-5772,8424,-12324,6188,4368,16536,3432,16744,676,-35360,-25948,-4160,7488,-52884,34112,-56628,46696,6864,-17056,98618,-728,-1352,-16640,-167986,-67288,103168
40,-492,0,-840,0,226,0,-1492,0,-2810,0,-672,288,-144,-21516,-16232,-52344,19452,-2040,-10944,167184,-24860,4304,-25792,132652,-73608,-197088,-34596,-472864,118056,-279232,334268,16852,181932,-407900,40036,-67548,-75460,212532,-256340,509836
41,536,0,512,0,106,0,-1608,0,-3488,0,-528,3068,3736,-4396,3112,36042,-23840,32586,22792,-21012,3520,51252,5044,-19580,-22776,-158508,126432,16922,-64928,-70248,-130536,-25256,-58712,339086,183872,37024,110208,-372220,-82016,114936
42,-140,0,-128,0,-258,0,1260,0,7018,0,-1906,-9572,-6946,-32342,8584,49912,-2580,-203764,-208106,22716,-1848,-18104,-35360,-13210,-80196,-211620,-127560,-466912,313964,402940,852112,-200530,-118292,118624,-491650,-266578,337862,-291400,-726912,-73332
43,-60,0,-156,0,86,0,2364,0,-1522,0,96,-6032,4012,19620,-15592,4176,-10712,-4920,26116,-26696,5676,7300,10296,106364,-170000,144224,32892,136452,73664,-71776,4584,-89760,-84712,-204152,-66220,-70200,181412,17808,-85836,347332
44,88,0,-44,0,-620,10,2104,-80,2700,-162,440,0,-1232,11088,-1584,-8800,-2398,-7810,25960,-16060,17424,19536,11440,-28160,-43472,77880,62656,102586,-58388,-8492,-151954,10164,-7744,-29700,43648,34320,-220088,-134156,59928,155144
45,428,0,1532,0,-334,0,1020,0,-392,0,-1336,-4256,14096,-18980,19708,29668,-12256,-10944,-53848,-74088,-21472,-78004,-14716,-70152,279432,-321024,-307424,-73200,75696,209972,174440,58124,105784,-79348,-515448,89128,931560,-128320,391080,-1306440
46,-314,0,-824,0,476,0,-1620,0,-5716,0,8,-1682,6812,1528,15336,-41702,44066,-47340,68632,-52892,17292,59432,29276,-208456,27364,-31404,-3224,-127750,125086,304620,-118292,-24992,-571272,-34618,-14276,-132288,-22168,689524,28680,460344
47,-272,0,-992,0,330,0,-286,0,4908,0,-268,1160,-2320,-6056,-12300,22412,11884,-80608,-4612,62552,-9372,104212,8840,-182520,-89572,-114828,-56016,9436,312152,-461868,64708,-9768,-32936,330136,57452,-93392,-65544,112976,52504,961000
48,776,0,1064,0,-338,0,3436,0,4538,0,-710,-4852,13268,17110,-17688,109212,-126164,18896,-72500,-53808,32208,306564,-4160,-211620,-328800,207708,26984,-324524,-87356,-516444,-124512,5500,71926,736380,-26662,207584,369942,-2578912,202252,-696892
49,-390,0,-870,0,209,0,220,0,4700,0,2046,2860,-8204,33992,8780,164,-30672,25372,38282,-162492,26972,-55966,7904,-104210,-55788,246962,68724,659644,-77520,63612,-189088,75438,303584,66752,46070,32474,80304,-535272,-278848,-128732
50,232,0,736,0,236,0,-2992,0,40,0,-2892,10664,-1900,-49868,19172,59136,-26560,-27816,-116088,97200,-22660,34192,-26260,42036,460156,-254644,12480,-8114,-379034,193412,-491650,47872,-14276,314586,-670612,226720,-744640,-1231706,404540,-1681532
51,-164,0,1252,0,-58,0,2332,0,6786,0,124,-4032,7556,-3760,-54800,57088,10280,5964,192,64428,6072,158468,7488,-127560,-310448,26984,137244,-180344,-46320,-594712,162448,-119504,-128328,362112,214696,-150228,87924,-623496,-566176,88012
52,-560,-8,400,4,312,0,-1170,0,-988,0,0,2340,-520,1248,-6656,1404,13130,18902,16744,-21632,11440,-8320,24336,-40768,-56628,3432,74360,102830,-7436,-94172,-167986,34320,-116480,169312,206752,14196,-192400,207272,42484,252928
53,-492,0,-828,0,-550,0,2356,0,1964,0,812,5132,-14132,-7528,14968,22364,-34696,23328,-12212,-4604,-25608,-197798,-19656,-5354,31976,48602,3040,517580,-109424,246788,-55352,67254,115896,-13208,22164,-108862,-53100,141028,-63504,736556
54,-110,0,-584,0,-84,0,2306,0,-2704,0,-3868,-2494,10120,-52104,5152,164896,-156644,-62018,-264036,105936,-6578,267536,-36738,-208468,5532,-193520,-71480,-693532,155138,-34244,337862,-285912,-22168,1033750,-744640,-157456,382196,-2969890,89440,-845140
55,-22,0,-550,0,164,-10,-732,42,-1880,16,-396,1100,-5588,-1584,6028,2640,9416,-24860,-21472,-22660,1452,-43472,5720,2200,53724,29524,22000,58124,-43472,98648,4400,-13068,-128656,134024,-132396,22880,-115060,274956,53240,-130196
56,120,0,-336,0,-430,0,-3152,0,-7474,0,-1078,2284,-17094,-21664,19452,-203764,54184,-76884,66570,132652,-16896,-333604,-44096,1053978,334268,-162874,-60812,56956,-254576,212532,-270760,-122892,336996,-2570720,-1019226,160680,-1716738,812356,196864,531440
57,-1512,0,-2736,0,1488,0,-3716,0,-5832,0,-832,4592,-12960,-35580,-19528,-89278,20252,-35166,7872,190580,-25124,-110468,34112,313964,27960,-87356,-46320,279122,-98816,-176408,56152,19888,236824,-565022,460840,-183352,-785320,916020,-240208,1853232
58,-192,0,-96,0,1204,0,-1432,0,-1548,0,-748,10808,2488,-6752,2700,41876,-20552,230964,75876,-39952,-35156,-68560,21840,-106112,70744,-75176,-70728,336852,-213056,-234740,-726912,111672,28680,304812,404540,90740,89440,32448,419376,513256
59,634,0,-158,0,-662,0,2340,0,-2024,0,-28,-6240,13756,11148,26664,18504,-54032,-25908,-5736,-1124,25080,298164,-29536,-155204,-143012,-89360,122808,-721732,14232,130932,321656,63316,-293972,284520,-96264,214136,460444,-1230060,-303888,-274540
60,632,0,-244,0,1008,0,-4426,0,-4348,0,-4332,7120,-17036,-38776,78156,-86464,668,4304,-78004,-96808,-43472,-529856,-56628,402940,776972,-516444,-594712,157996,-176408,673676,-64276,155144,379672,-1155900,-1402748,252928,-344372,707824,611816,-2270440
61,840,0,1944,0,-1114,0,-1864,0,2592,0,1672,-376,-1576,12836,-23816,-78844,84912,6600,42552,-34508,26620,98456,-312,96708,-217760,205696,230688,-90784,-248040,-60552,128496,78232,72360,-160708,286440,154388,-605840,1331376,-81764,82016
62,134,0,200,0,-1312,0,4224,0,7560,0,848,-1628,-31100,-6672,59212,14448,-29060,-113440,-49340,-71728,45936,-425484,-32656,207860,118308,-423268,23888,567148,-7964,1431776,101136,-104236,-322092,-770516,-306476,-299052,-861148,452932,-1306848,468624
