q,orbit,dim,order,largest_prime,bits,log2_q,security_ratio,embedding_degree
2,1,1,3,3,1.584962500721156,1.0,1.584962500721156,2
2,2,4,7,7,2.807354922057604,1.0,0.701838730514401,3
2,3,6,156,13,3.700439718141092,1.0,0.6167399530235154,12
3,1,1,5,5,2.321928094887362,1.584962500721156,1.464973520717927,4
3,2,4,161,23,4.523561956057013,1.584962500721156,0.7135124575500679,11
3,3,6,384,3,1.584962500721156,1.584962500721156,0.16666666666666666,0
5,1,1,7,7,2.807354922057604,2.321928094887362,1.2090619551221677,6
5,2,4,784,7,2.807354922057604,2.321928094887362,0.30226548878054194,6
5,3,6,16128,7,2.807354922057604,2.321928094887362,0.2015103258536946,6
7,1,1,10,5,2.321928094887362,2.807354922057604,0.8270874753469161,0
7,2,4,1379,197,7.622051819456376,2.807354922057604,0.6787574096500346,98
7,3,6,80496,43,5.426264754702098,2.807354922057604,0.3221457507959727,6
17,1,1,22,11,3.4594316186372973,4.087462841250339,0.8463518209205471,0
17,2,4,61264,547,9.095397022792557,4.087462841250339,0.5562984531016746,546
17,3,6,29847552,347,8.43879185257826,4.087462841250339,0.3440925002593568,346
19,1,1,18,3,1.584962500721156,4.247927513443585,0.3731143000216369,0
19,2,4,89467,12781,13.641713098353947,4.247927513443585,0.8028452142357346,12780
19,3,6,94678416,239,7.900866807980749,4.247927513443585,0.3099890783202146,238
23,1,1,17,17,4.087462841250339,4.523561956057013,0.9035938671686058,0
23,2,4,381941,54563,15.735635348804065,4.523561956057013,0.8696484928063257,27281
23,3,6,98486832,2153,11.072132604167233,4.523561956057013,0.40794299977630594,2152
29,1,1,32,2,1.0,4.857980995127572,0.20584683246043448,0
29,2,4,1092336,3251,11.666667840690355,4.857980995127572,0.6003866550935316,3250
29,3,6,617017344,337,8.396604781181859,4.857980995127572,0.2880690829380709,336
31,1,1,35,7,2.807354922057604,4.954196310386875,0.5666620267290896,0
31,2,4,888496,7933,12.953650833649307,4.954196310386875,0.6536706471688923,3966
31,3,6,1278645120,221987,17.760115666396487,4.954196310386875,0.5974771874757622,110993
37,1,1,49,7,2.807354922057604,5.20945336562895,0.5388962574422941,0
37,2,4,1419824,1811,10.822570830950168,5.20945336562895,0.5193717109723821,362
37,3,6,1856279808,2659,11.376668061857668,5.20945336562895,0.36397510651561854,886
41,1,1,32,2,1.0,5.357552004618084,0.18665241123894338,0
41,2,4,2436931,97,6.599912842187128,5.357552004618084,0.3079724114902738,96
41,3,6,5671474368,4219847,22.008759261066402,5.357552004618084,0.6846646640759116,2109923
43,1,1,48,3,1.584962500721156,5.426264754702098,0.29209088984235726,0
43,2,4,1952944,53,5.727920454563199,5.426264754702098,0.26389794423501467,26
43,3,6,7224514560,283,8.144658242831882,5.426264754702098,0.2501615939944132,94
47,1,1,52,13,3.700439718141092,5.554588851677638,0.6661950716700585,0
47,2,4,7502096,1367,10.41679752760606,5.554588851677638,0.46883746960226863,1366
47,3,6,10222530048,6911,12.754678763822529,5.554588851677638,0.3827069564884857,6910
53,1,1,52,13,3.700439718141092,5.727920454563199,0.6460354586790925,0
53,2,4,9403401,2273,11.150381968817848,5.727920454563199,0.48666798261552313,1136
53,3,6,22411374336,17401,14.086882596749069,5.727920454563199,0.40988938040409373,4350
59,1,1,61,61,5.930737337562887,5.882643049361842,1.0081756257854644,60
59,2,4,16552816,147793,17.173218414391503,5.882643049361842,0.7298257887776516,73896
59,3,6,36750453888,95704307,26.512080516276246,5.882643049361842,0.7511385696817668,95704306
61,1,1,64,2,1.0,5.930737337562887,0.1686130986895011,0
61,2,4,17620848,5827,12.508537595347322,5.930737337562887,0.5272758210064082,5826
61,3,6,41710086144,37097,15.17901490170221,5.930737337562887,0.4265634562716871,9274
67,1,1,69,23,4.523561956057013,6.066089190457772,0.7457130638917702,0
67,2,4,20013168,127,6.9886846867721655,6.066089190457772,0.2880226644938586,126
67,3,6,84565146240,55823,15.768572038328603,6.066089190457772,0.4332437683005955,27911
71,1,1,81,3,1.584962500721156,6.149747119504682,0.2577280772560959,0
71,2,4,31476144,4073,11.991876099003415,6.149747119504682,0.48749468335737334,4072
71,3,6,164961045120,20107,14.295410224594724,6.149747119504682,0.3874254216420017,10053
73,1,1,90,5,2.321928094887362,6.189824558880018,0.3751201787385538,0
73,2,4,21525679,22123,14.433259415739311,6.189824558880018,0.5829429929089482,11061
73,3,6,103157880480,7959713,22.9242849823869,6.189824558880018,0.617257262687663,1989928
79,1,1,72,3,1.584962500721156,6.303780748177103,0.25143046118466095,0
79,2,4,44576784,14741,13.847546776852514,6.303780748177103,0.5491762535069482,14740
79,3,6,216214576128,128201,16.968047989821034,6.303780748177103,0.44862093262385366,128200
