# q-expansions of the AL-adapted basis e_1..e_13, q^0..q^140.
# Integral. Same labels as X0_143_AL_adapted_basis.txt.
#
n,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,72,-27,-2,-7,-49,-15,-26,1,8,-8,18,-10,1
2,0,-35,-12,-27,15,-77,0,-2,6,46,36,-20,-2
3,-72,-48,-24,-8,-40,-16,-136,-1,0,0,48,56,-1
4,-144,7,10,59,-59,5,0,2,6,56,42,36,2
5,-72,38,56,-18,14,-110,-120,1,0,-20,-12,-112,1
6,0,-72,-68,-48,-4,90,94,2,-2,44,12,-66,2
7,-144,-106,68,48,-78,42,88,-2,12,-96,-54,66,-2
8,0,141,-34,-105,119,-45,132,0,18,-40,-12,102,0
9,-144,-13,-130,-51,-83,23,-46,-2,4,-108,-84,-36,-2
10,0,42,44,2,-18,2,220,-2,-16,-24,36,-92,-2
11,-72,27,2,7,49,15,26,1,8,-8,18,-10,1
12,144,-52,50,146,-36,152,-80,-2,8,-18,-36,-122,-2
13,-72,-27,-2,-7,-49,-15,-26,17,-8,8,-18,10,-9
14,0,-104,82,-50,68,-136,-116,4,-8,38,-96,66,4
15,72,152,124,-40,-44,160,48,-1,-20,124,96,112,-1
16,288,93,68,133,-61,-9,-204,-4,10,-22,-120,56,-4
17,-288,70,24,54,-30,154,0,-2,12,52,48,-264,-2
18,0,-43,-162,-33,-5,-97,-104,4,-30,-32,-96,-6,4
19,144,-32,-76,24,44,124,36,0,16,-36,168,36,0
20,144,-2,0,78,10,-114,52,2,-48,-12,48,-52,2
21,144,-10,108,128,102,-138,-12,2,-4,-80,54,254,2
22,0,35,12,27,-15,77,0,-2,6,46,36,-20,-2
23,504,82,-104,88,-54,78,32,-1,-8,28,-54,66,-1
24,0,154,66,-146,314,-2,68,0,4,-98,18,132,0
25,-288,83,-158,-189,-131,67,-18,-4,24,16,-114,-30,-4
26,0,-35,-12,-27,15,-77,0,-34,-6,-46,-36,20,18
