assignment_id,chi_cL,chi_ca,chi_cb,chi_cd,chi_La,chi_Lb,chi_Ld,chi_ab,chi_ad,chi_bd,index_cL,index_ca,index_cb,index_cd,index_La,index_Lb,index_Ld,index_ab,index_ad,index_bd,preserves_six_family_indices,preserves_all_M1_indices,scalar_up,scalar_down,scalar_neutrino,scalar_charged_lepton,all_four_scalar_bilinears,signed_6D_dimension,I8_p2_coefficient,I8_c3_coefficient,4D_Y_BL_phase_anomaly_free
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,3,3,0,6,6,3,0,-3,-3,False,False,False,False,False,False,False,-24,1/60,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,True
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-3,3,3,0,6,6,3,0,-3,3,False,False,False,False,False,True,False,-22,11/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-3,3,3,0,6,6,3,0,3,-3,False,False,False,False,True,False,False,-22,11/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-3,3,3,0,6,6,3,0,3,3,False,False,False,False,True,True,False,-20,1/72,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
4,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-3,3,3,0,6,6,3,0,-3,-3,False,False,False,False,False,False,False,-22,11/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,True
5,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-3,3,3,0,6,6,3,0,-3,3,False,False,False,False,False,True,False,-20,1/72,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
6,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-3,3,3,0,6,6,3,0,3,-3,False,False,False,False,True,False,False,-20,1/72,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
7,-1,-1,-1,-1,-1,-1,-1,1,1,1,-3,3,3,0,6,6,3,0,3,3,False,False,False,False,True,True,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
8,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-3,3,3,0,6,6,-3,0,-3,-3,False,False,False,False,True,True,False,-20,1/72,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
9,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-3,3,3,0,6,6,-3,0,-3,3,False,False,False,False,True,False,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
10,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-3,3,3,0,6,6,-3,0,3,-3,False,False,False,False,False,True,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
11,-1,-1,-1,-1,-1,-1,1,-1,1,1,-3,3,3,0,6,6,-3,0,3,3,False,False,False,False,False,False,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
12,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-3,3,3,0,6,6,-3,0,-3,-3,False,False,False,False,True,True,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
13,-1,-1,-1,-1,-1,-1,1,1,-1,1,-3,3,3,0,6,6,-3,0,-3,3,False,False,False,False,True,False,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
14,-1,-1,-1,-1,-1,-1,1,1,1,-1,-3,3,3,0,6,6,-3,0,3,-3,False,False,False,False,False,True,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
15,-1,-1,-1,-1,-1,-1,1,1,1,1,-3,3,3,0,6,6,-3,0,3,3,False,False,False,False,False,False,False,-14,7/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
16,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-3,3,3,0,6,-6,3,0,-3,-3,False,False,False,False,False,False,False,-20,1/72,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
17,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-3,3,3,0,6,-6,3,0,-3,3,False,False,False,False,False,True,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
18,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-3,3,3,0,6,-6,3,0,3,-3,False,False,False,False,True,False,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
19,-1,-1,-1,-1,-1,1,-1,-1,1,1,-3,3,3,0,6,-6,3,0,3,3,False,False,False,False,True,True,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
20,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-3,3,3,0,6,-6,3,0,-3,-3,False,False,False,False,False,False,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
21,-1,-1,-1,-1,-1,1,-1,1,-1,1,-3,3,3,0,6,-6,3,0,-3,3,False,False,False,False,False,True,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
22,-1,-1,-1,-1,-1,1,-1,1,1,-1,-3,3,3,0,6,-6,3,0,3,-3,False,False,False,False,True,False,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
23,-1,-1,-1,-1,-1,1,-1,1,1,1,-3,3,3,0,6,-6,3,0,3,3,False,False,False,False,True,True,False,-14,7/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
24,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-3,3,3,0,6,-6,-3,0,-3,-3,False,False,False,False,True,True,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
25,-1,-1,-1,-1,-1,1,1,-1,-1,1,-3,3,3,0,6,-6,-3,0,-3,3,False,False,False,False,True,False,False,-14,7/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
26,-1,-1,-1,-1,-1,1,1,-1,1,-1,-3,3,3,0,6,-6,-3,0,3,-3,False,False,False,False,False,True,False,-14,7/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
27,-1,-1,-1,-1,-1,1,1,-1,1,1,-3,3,3,0,6,-6,-3,0,3,3,False,False,False,False,False,False,False,-12,1/120,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
28,-1,-1,-1,-1,-1,1,1,1,-1,-1,-3,3,3,0,6,-6,-3,0,-3,-3,False,False,False,False,True,True,False,-14,7/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
29,-1,-1,-1,-1,-1,1,1,1,-1,1,-3,3,3,0,6,-6,-3,0,-3,3,False,False,False,False,True,False,False,-12,1/120,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
30,-1,-1,-1,-1,-1,1,1,1,1,-1,-3,3,3,0,6,-6,-3,0,3,-3,False,False,False,False,False,True,False,-12,1/120,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
31,-1,-1,-1,-1,-1,1,1,1,1,1,-3,3,3,0,6,-6,-3,0,3,3,False,False,False,False,False,False,False,-10,1/144,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
32,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-3,3,3,0,-6,6,3,0,-3,-3,False,False,False,False,False,False,False,-20,1/72,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
33,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-3,3,3,0,-6,6,3,0,-3,3,False,False,False,False,False,True,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
34,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-3,3,3,0,-6,6,3,0,3,-3,False,False,False,False,True,False,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
35,-1,-1,-1,-1,1,-1,-1,-1,1,1,-3,3,3,0,-6,6,3,0,3,3,False,False,False,False,True,True,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
36,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-3,3,3,0,-6,6,3,0,-3,-3,False,False,False,False,False,False,False,-18,1/80,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
37,-1,-1,-1,-1,1,-1,-1,1,-1,1,-3,3,3,0,-6,6,3,0,-3,3,False,False,False,False,False,True,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
38,-1,-1,-1,-1,1,-1,-1,1,1,-1,-3,3,3,0,-6,6,3,0,3,-3,False,False,False,False,True,False,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
39,-1,-1,-1,-1,1,-1,-1,1,1,1,-3,3,3,0,-6,6,3,0,3,3,False,False,False,False,True,True,False,-14,7/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
40,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-3,3,3,0,-6,6,-3,0,-3,-3,False,False,False,False,True,True,False,-16,1/90,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
41,-1,-1,-1,-1,1,-1,1,-1,-1,1,-3,3,3,0,-6,6,-3,0,-3,3,False,False,False,False,True,False,False,-14,7/720,f_L + f_a/2 + f_b/2 - 5*f_c/2 + f_d/2,False
