# q-expansions of the PARI mfbasis of S_2(Gamma_0(143)), dim 13.
# mfinit([143,2],1); mfcoefs(mf,140). Integral basis.
# Rows: coefficient of q^n, n = 0..140. Columns: f_1..f_13.
# Sturm bound at weight 4 level 143 is 56; 140 >> 2 x 56.
#
n,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,11,3,2,9,0,-4,8,3,13,-2,-3
2,-2,0,3,31,-4,9,-2,4,-16,35,-9,-18,3
3,-1,0,2,-4,46,0,-6,0,-12,-36,8,-48,-2
4,2,0,9,9,0,79,-18,-44,12,-3,-13,-18,-3
5,1,0,0,-2,-6,-18,86,-48,-28,-14,2,40,0
6,2,0,-4,4,0,-44,-48,106,6,-6,24,-12,2
7,-2,0,8,-16,-12,12,-28,6,100,-6,0,4,4
8,0,0,3,35,-36,-3,-14,-6,-6,191,-1,-10,15
9,-2,0,13,-9,8,-13,2,24,0,-1,141,14,-9
10,-2,0,-2,-18,-48,-18,40,-12,4,-10,14,244,-14
11,1,0,-3,3,-2,-3,0,2,4,15,-9,-14,11
12,-2,0,0,-44,14,2,0,8,44,-152,-14,-76,8
13,4,1,1,-3,4,7,2,-2,0,-15,13,14,-9
14,4,0,-16,28,6,-38,4,20,4,36,-82,-136,8
15,-1,0,-6,-48,2,0,-18,8,8,20,-120,52,-14
16,-4,0,17,-15,-6,103,26,-136,12,-31,-23,-126,-7
17,-2,0,2,-34,-12,2,40,24,12,-86,18,28,10
18,4,0,-9,13,24,-19,14,2,-82,-49,115,26,-21
19,0,0,0,-14,52,-36,-52,56,0,-48,8,-12,16
20,2,0,-18,-18,0,-10,72,-76,-80,-134,22,268,-30
21,2,0,-12,6,24,44,8,-130,8,-14,-100,16,8
22,-2,0,3,-9,2,21,-14,4,8,-13,-21,-30,3
23,-1,0,14,0,-14,86,-50,-52,-32,-16,44,-16,-22
24,0,0,-36,-6,8,-152,20,56,-14,142,-100,-32,40
25,-4,0,31,25,-28,27,-42,72,12,173,135,-106,-7
26,-8,-2,-3,9,-2,-21,14,-4,-8,13,21,30,-3
27,5,0,2,36,42,-14,-102,88,-64,8,92,-76,-26
28,-4,0,12,-38,44,68,-80,-2,24,-56,-52,-180,-14
29,0,0,-10,18,-20,-46,-12,72,-16,70,-38,124,-10
30,2,0,-48,-12,8,-76,52,-28,16,-32,-220,-144,64
31,7,0,-10,28,2,4,-18,-4,88,12,-72,-196,14
32,8,0,-21,67,-64,-55,-98,126,20,207,-37,-18,13
33,-1,0,-2,2,-18,8,-14,-12,8,40,-32,64,2
34,4,0,-34,6,24,-154,28,108,-68,22,-74,36,46
35,-2,0,-28,4,8,-80,52,16,8,-188,12,-64,16
36,-4,0,-13,-19,-14,3,22,-52,-52,-75,-7,242,-43
37,3,0,16,50,-34,114,10,0,12,-42,74,64,8
38,0,0,-14,-36,56,-76,-12,156,-64,-196,8,-64,4
39,-4,-1,4,-2,16,-12,12,12,-12,-40,28,-64,-4
40,0,0,-14,-10,20,-134,188,-32,-188,-90,214,260,-46
41,-8,0,14,18,-64,106,-52,-34,24,-40,-126,-32,2
42,-4,0,6,20,-130,-2,16,32,4,180,26,232,-32
43,-6,0,20,-8,-20,24,52,-72,-4,144,84,32,32
44,2,0,-3,21,8,-25,-30,44,-14,55,-43,-74,9
45,-2,0,2,14,-120,22,200,-220,12,214,-142,-92,50
46,2,0,0,114,-52,-16,-16,-6,-110,368,104,-12,12
47,8,0,-16,32,-52,-4,40,0,-44,24,-4,240,-20
48,4,0,-6,-136,28,126,-32,-84,92,-228,-108,36,-36
49,-3,0,23,-17,-6,-39,8,32,144,11,-23,122,-11
50,8,0,25,89,72,223,-106,-164,16,85,-47,-478,33
51,2,0,-12,24,24,132,52,-176,-144,-60,-196,48,-32
52,8,2,7,-21,-12,17,26,-44,6,-55,35,74,-13
53,-6,0,-2,-26,-20,-82,0,44,104,2,-78,128,-10
54,-10,0,36,-10,88,80,-76,-4,8,-118,220,-160,-38
55,1,0,0,-14,-14,-30,-22,64,16,-46,50,48,0
56,0,0,-6,36,-14,-56,-188,180,32,276,34,-144,72
57,0,0,52,56,8,52,-24,-34,48,90,224,84,12
58,0,0,18,-66,72,106,124,-204,24,-334,-38,12,-18
59,5,0,-6,-4,50,-28,-62,88,-76,56,88,-164,-26
60,-2,0,0,-76,-32,-56,-108,188,216,-156,44,-136,52
61,12,0,2,6,-4,14,68,-36,-52,46,-110,84,-26
62,-14,0,28,-16,-4,68,-196,72,252,116,-72,-288,-4
63,4,0,0,-82,-100,-52,12,26,68,34,36,184,44
64,-8,0,33,-67,138,135,-70,-52,140,-271,21,-130,-23
65,4,1,2,14,12,26,20,-64,-20,46,-54,-48,-2
66,2,0,2,4,-12,44,64,-88,-32,-20,-32,24,-4
67,-7,0,10,36,38,-60,90,56,-104,-32,-36,60,-6
68,-4,0,2,-154,132,30,-44,-12,36,-470,-86,28,-38
69,1,0,-14,-52,86,22,-86,104,56,-296,96,-228,6
70,4,0,4,-136,16,-180,-64,232,108,-144,184,288,-60
71,-3,0,-38,40,30,0,-46,-32,-88,184,24,116,10
72,0,0,-1,-49,-100,-75,214,-136,34,27,-69,454,-11
73,4,0,38,28,-12,70,-40,-8,176,142,198,16,6
74,-6,0,50,146,0,58,64,-64,-136,242,70,100,6
75,4,0,-28,72,228,-108,56,28,-344,-60,4,-356,-44
76,0,0,-36,-76,52,-196,40,202,-2,-196,-16,-56,24
77,-2,0,4,8,8,-14,16,-32,-32,72,44,-60,8
78,8,2,-2,-4,12,-44,-64,88,32,20,32,-24,4
79,-10,0,12,-48,-72,-168,84,52,48,16,148,248,-32
80,-4,0,26,-126,-32,-90,116,36,16,-202,410,452,-78
81,1,0,3,115,74,-49,-148,256,-36,-93,97,-314,5
82,16,0,18,134,-34,-4,-32,12,-20,446,-132,-164,66
83,-6,0,-28,-68,44,-8,76,-142,-60,18,-108,-84,24
84,4,0,44,-2,-16,132,216,-244,-54,-88,152,4,-34
85,-2,0,40,28,52,-44,44,48,8,-28,84,-376,56
86,12,0,-8,64,-72,128,32,-96,-144,108,-60,24,12
87,0,0,-20,72,-68,-164,176,16,-84,160,-36,-96,52
88,0,0,15,-13,40,55,-46,-20,72,-73,-11,-138,3
89,15,0,-20,-54,98,18,18,-76,72,-194,-86,-136,40
90,4,0,14,26,-220,242,-92,-196,184,454,-290,84,34
91,-8,-2,0,-8,-12,6,-20,32,24,-72,-52,60,-12
92,-2,0,86,-16,22,424,88,-400,112,-116,102,-44,-52
93,-7,0,2,-4,-102,68,-94,12,60,76,-12,268,-50
94,-16,0,32,-36,0,88,240,-292,-64,-200,112,400,-60
95,0,0,-52,-12,-24,40,-136,84,60,-32,-312,-104,56
96,-8,0,-64,126,-100,-196,-4,176,-84,236,-24,-4,48
97,-7,0,36,14,150,154,-106,-40,-16,78,50,-112,8
98,6,0,-17,7,32,-23,122,-66,26,-243,-173,-46,-11
99,-2,0,-9,-21,-32,-43,50,-32,44,-11,-49,34,13
100,-8,0,27,223,-108,209,-394,84,124,627,-251,-358,55
101,2,0,18,-58,-40,-110,80,52,-136,-54,74,148,-54
102,-4,0,24,108,-176,-12,48,-32,-12,468,16,400,24
103,-16,0,-16,60,-40,-122,92,-32,36,8,-80,-4,0
104,0,0,-15,13,-40,-55,46,20,-72,73,11,138,-3
105,2,0,8,16,-72,216,-404,196,132,-28,68,352,-80
106,12,0,-26,-86,44,-50,128,-78,74,-348,-146,8,-20
107,18,0,-24,-48,-104,-68,-68,84,80,124,-96,-128,28
108,10,0,-14,80,-88,-110,44,80,20,328,76,8,44
109,10,0,-2,84,8,18,-164,232,-80,-54,-46,-80,14
110,-2,0,-14,-30,64,-74,48,24,-60,-138,34,-4,-2
111,-3,0,-34,0,122,4,-230,220,-68,-376,-124,-228,-14
112,8,0,12,8,92,212,16,-112,-46,-242,-28,-444,56
113,9,0,32,-106,94,22,-134,48,124,-170,186,52,-68
114,0,0,56,156,-34,202,84,-108,-244,44,206,128,-80
115,-1,0,-50,-16,-86,88,102,-228,-32,-12,-72,324,6
116,0,0,-46,106,-164,-374,36,304,-96,426,110,324,50
117,-8,-2,13,21,28,35,-54,32,-52,11,41,-34,-17
118,-10,0,-4,-40,88,48,-164,20,92,-76,88,-352,16
119,4,0,12,-68,-144,36,8,-12,16,-56,240,128,-52
120,0,0,20,-32,172,-156,-240,424,-28,-52,220,-328,-40
121,1,0,11,3,2,9,0,-4,8,3,13,-2,-3
122,-24,0,6,18,-36,58,84,-152,60,-10,-138,116,26
123,8,0,-64,-34,-84,140,12,-78,60,-246,-260,80,28
124,14,0,4,68,68,76,-252,68,68,288,-208,-712,60
125,-9,0,-42,-96,86,-304,310,-116,-220,-76,104,12,-6
126,-8,0,-82,-52,26,-130,184,-48,-236,-132,-178,16,48
127,8,0,0,92,-36,84,56,-32,-48,-4,84,-168,-4
128,0,0,-25,67,76,-295,66,260,-130,49,15,-142,43
129,6,0,-20,-72,144,-56,-28,-84,-24,48,-220,-48,24
130,-8,-2,14,30,-64,74,-48,-24,60,138,-34,4,2
131,-18,0,-28,-48,24,44,4,-204,-100,-24,-264,8,-4
132,-2,0,8,44,-52,-28,52,10,-34,136,68,88,0
133,0,0,0,-64,48,-2,60,-244,-4,248,116,136,0
134,14,0,36,-40,56,40,60,0,28,-328,-24,224,0
135,5,0,-102,-76,-142,44,98,-272,44,160,-524,348,38
