n,period,c,logistic_r,d,delta_ratio,alpha_magnitude_ratio,alpha_signed_ratio,residual,root_status,arithmetic_precision_digits
0,1,0,2,,,,,0,exact,90
1,2,-1,3.23606797749978969640917366873127623544061835961152572427089724541052092563780489941441441,-1,,,,0,exact,90
2,4,-1.31070264133683288356357079741218077850193162762588255299412570558877832480816148109044754,3.49856169932770151999894538194453926788687903654442683657282363852338532124342080602507653,0.40723877267051749767472106515481188765342361381124450260725840651015550097262829983944953,3.21851142203808791227050453074281325602882037797108219914199443748327122603764725400403384,2.45556186470747633796241535610403682194909358248909668544604601521079437029020621607949091,-2.45556186470747633796241535610403682194909358248909668544604601521079437029020621607949091,4.8245910901E-79,numerical_not_interval_certified,90
3,8,-1.38154748443206146954069356231341919682180997453577169470075093556045118716361026873490786,3.55464086276882486536608185194849179182720001411430077699189722300180457537926242498665774,-0.16342536220826968827646855786513049217710155736516205984800183625455627637673795484317064,4.38567759856833908574494856877552234610321635657649780869963075261270594038856893662445318,2.49189456989871249227577984312487651189561507982984426373224034179355370987786736944431442,-2.49189456989871249227577984312487651189561507982984426373224034179355370987786736944431442,-1.15583745691E-78,numerical_not_interval_certified,90
4,16,-1.39694535970456064167247798732507747493970108869197013559515880457741186229899183210812062,3.56666737985626851397263115745536809193795406600135721602859741834854866938184372095247764,0.06536337318676458759426647183322276907085498020983814446426681894913184270064303166651170,4.60094927653807535781169469862383498502355249663354337229559345445432977152535719079165842,2.50025900195373710132319149548211499939185365440708578397620782626771697462408425667872060,-2.50025900195373710132319149548211499939185365440708578397620782626771697462408425667872060,-1.66011332399E-78,numerical_not_interval_certified,90
5,32,-1.40025308121478279732501228280877816694931374145402081747043487092907843635405042166620378,3.56924353163711033780824951091274555817662944104831530104686151721655393769709210163733762,-0.02612126118250666908309753806174598109714055311497803216500053261454055511263778518278234,4.65513049539198013648625499585689881947546049738522607836331158816512330701273869917562775,2.50230541052658836380241652683373423123809529170828741562365404485674872192625820718589075,-2.50230541052658836380241652683373423123809529170828741562365404485674872192625820718589075,8.5517784114E-79,numerical_not_interval_certified,90
6,64,-1.40096196294484104029611631586980659948277052042718818932045589851042526993059535986202764,3.56979529374994462051535252960697797567745917676502626322596394460629421029814454605737245,0.01043692271623453164918076460154605611041225562014304856661154564779093262735162113258802,4.66611194782857138833121369671177648071905897173694216397236891198998639481952167632060286,2.50277422691607188826593957039129657039062349553592332519459918080245069128953446700862462,-2.50277422691607188826593957039129657039062349553592332519459918080245069128953446700862462,1.66464249488E-78,numerical_not_interval_certified,90
7,128,-1.40111380493977612390087965794872696846712352061348630620660226173979502795779873464653258,3.56991346542234851484097351966801182631863218890736862997046216563500893062358800019415909,-0.00416996806030471992794835753773035960692967015846390255202543826165235869985052007496011,4.66854858144684094804454368014814626554328789665434875731730955140040333726388778886347745,2.50287833510932329377188240029961976473721677573711770103618092646830477626232197606222599,-2.50287833510932329377188240029961976473721677573711770103618092646830477626232197606222599,-3.27647126972E-78,numerical_not_interval_certified,90
8,256,-1.40114632582694617864728823871260634766319919358069754329563313718007022703563487951612302,3.56993877423330548779344606756298692636115014624332439706973965078701729230296018770067664,0.00166605364875210664120233804961240203868589916405182207484046843034980898212859711854333,4.66906066064826823913259982263027263779968209542149740052288679867743089183881665562080128,2.50290143023189799467736989231316353277093659473633661804196340065837773301839336005549779,-2.50290143023189799467736989231316353277093659473633661804196340065837773301839336005549779,2.101502197640E-77,numerical_not_interval_certified,90
9,512,-1.40115329084992388147467229053469474083540568158040983188628161474981000549466146710567052,3.56994419460806493324363334387217333647009679760874039722866965604027176069888849984364187,-0.00066564758501547434337598080716103379913268464102869753952927475703460293550067944228831,4.66917155537951138888600460989756708824067657317078978380437511380469513873514028599674685,2.50290647221889313549189565598742450445567666997135488893191967271676517414324644309165689,-2.50290647221889313549189565598742450445567666997135488893191967271676517414324644309165689,-4.181153888641E-77,numerical_not_interval_certified,90
10,1024,-1.40115478254661784121861253772186469868167539073971139538920379967744285518319674755088319,3.56994535548646858089280238230816424881638502777557406396494048809126520323178171936186702,0.00026594972686637570712566087513292483072718683291084084585093626377749594937980790466976,4.66919515603001717402110880119149209339214790860575640551632596159743550059430803598265943,2.50290757151227907727515164498575205079282000228056154430304715039718694510260536737274341,-2.50290757151227907727515164498575205079282000228056154430304715039718694510260536737274341,-3.851763887761E-77,numerical_not_interval_certified,90
