disagreeing_edges,ferromagnetic_energy_J1,exact_spin_count,exact_even_subgraph_count
0,-84,2,1
1,-82,2,1
2,-80,2,0
3,-78,122,4
4,-76,314,4
5,-74,702,0
6,-72,4970,10
7,-70,17800,18
8,-68,53338,28
9,-66,212138,76
10,-64,773478,124
11,-62,2597688,197
12,-60,9109034,384
13,-58,31744226,642
14,-56,107613138,1101
15,-54,360822566,1989
16,-52,1187886560,3566
17,-50,3801929326,6403
18,-48,11790167580,10930
19,-46,35260183150,18659
20,-44,101186566750,32076
21,-42,277704942978,53167
22,-40,727162928974,87673
23,-38,1813543282822,144220
24,-36,4304020431548,232114
25,-34,9716753972118,370720
26,-32,20867351515600,585822
27,-30,42639999802918,904446
28,-28,82935835094634,1373726
29,-26,153617757993562,2060616
30,-24,271092856294146,3033704
31,-22,456001537789182,4376274
32,-20,731408660478220,6196503
33,-18,1119041327802186,8598919
34,-16,1633580840914184,11658146
35,-14,2275767461118922,15417638
36,-12,3025934853170770,19882354
37,-10,3840212739058886,24963466
38,-8,4651611705816370,30418522
39,-6,5377277237066958,35869778
40,-4,5931460076055816,40834634
41,-2,6241695168703810,44739140
42,0,6264113509091956,47010254
43,2,5993496766428526,47184445
44,4,5464937013015758,44982682
45,6,4746438234155206,40451534
46,8,3924589916297254,34070355
47,10,3087467450318450,26652913
48,12,2309411744559296,19149290
49,14,1641236750233978,12458053
50,16,1107292433962708,7211652
51,18,708590361318938,3625587
52,20,429695321919546,1528582
53,22,246671410669462,514991
54,24,133905748005098,129435
55,26,68659364951314,21560
56,28,33211303658132,1784
57,30,15135183291250,0
58,32,6489240826768,0
59,34,2613611332786,0
60,36,987169473694,0
61,38,348978274942,0
62,40,115199901702,0
63,42,35409781994,0
64,44,10099428050,0
65,46,2661360460,0
66,48,644550790,0
67,50,142555060,0
68,52,28567516,0
69,54,5135588,0
70,56,817196,0
71,58,112786,0
72,60,13006,0
73,62,1164,0
74,64,70,0
75,66,2,0
76,68,0,0
77,70,0,0
78,72,0,0
79,74,0,0
80,76,0,0
81,78,0,0
82,80,0,0
83,82,0,0
84,84,0,0
