edge,self_loop,was_frustrated,min_frustrated,ground_energy,ground_degeneracy,minimum_rearrangement
0,True,True,8,-68,2,0
1,False,False,9,-66,2,1
2,False,False,10,-64,32,0
3,False,False,10,-64,12,0
4,False,False,9,-66,2,9
5,False,False,10,-64,12,0
6,False,False,9,-66,6,3
7,False,False,9,-66,2,1
8,False,False,9,-66,10,1
9,False,False,9,-66,6,1
10,False,False,9,-66,2,1
11,False,False,9,-66,4,1
12,False,True,8,-68,2,0
13,False,False,9,-66,4,1
14,False,False,9,-66,4,3
15,False,False,10,-64,22,0
16,False,False,9,-66,6,1
17,False,True,8,-68,2,0
18,False,False,9,-66,10,1
19,False,False,10,-64,22,0
20,False,False,10,-64,12,0
21,False,False,10,-64,6,0
22,False,False,9,-66,2,9
23,False,False,9,-66,6,3
24,False,False,9,-66,6,1
25,False,True,8,-68,2,0
26,False,False,9,-66,6,1
27,False,False,10,-64,14,0
28,False,False,9,-66,2,1
29,False,True,8,-68,2,0
30,False,False,9,-66,8,1
31,False,False,10,-64,24,0
32,False,False,10,-64,60,0
33,False,False,10,-64,4,0
34,False,False,9,-66,2,9
35,False,False,9,-66,4,5
36,False,False,9,-66,4,3
37,False,False,9,-66,4,1
38,False,False,9,-66,2,1
39,False,False,9,-66,2,1
40,False,False,9,-66,4,3
41,False,False,10,-64,48,0
42,False,False,10,-64,14,0
43,False,False,10,-64,14,0
44,False,False,10,-64,12,0
45,False,False,9,-66,2,1
46,False,False,9,-66,6,1
47,False,False,10,-64,42,0
48,False,False,9,-66,2,9
49,False,False,9,-66,4,5
50,False,False,9,-66,2,1
51,False,False,9,-66,8,1
52,False,False,9,-66,2,1
53,False,True,8,-68,2,0
54,False,False,9,-66,4,3
55,False,False,9,-66,2,1
56,False,False,9,-66,12,1
57,False,False,9,-66,2,1
58,False,False,10,-64,14,0
59,False,False,10,-64,32,0
60,False,False,9,-66,2,1
61,False,False,10,-64,24,0
62,False,False,9,-66,12,1
63,False,False,9,-66,2,1
64,False,False,9,-66,2,1
65,False,False,10,-64,12,0
66,False,False,10,-64,42,0
67,False,False,10,-64,48,0
68,False,False,9,-66,2,1
69,False,False,9,-66,4,3
70,False,False,10,-64,22,0
71,False,False,10,-64,4,0
72,False,False,9,-66,4,3
73,False,True,8,-68,2,0
74,False,False,9,-66,6,1
75,False,False,9,-66,4,1
76,False,False,10,-64,12,0
77,False,False,10,-64,60,0
78,False,True,8,-68,2,0
79,False,False,10,-64,6,0
80,False,False,10,-64,22,0
81,False,False,9,-66,4,1
82,False,False,9,-66,4,1
83,False,True,8,-68,2,0
