disagreeing_edges_k,up_spins_m,S,M,exact_count
0,0,84,-56,1
0,56,84,56,1
1,1,82,-54,1
1,55,82,54,1
2,2,80,-52,1
2,54,80,52,1
3,1,78,-54,55
3,3,78,-50,6
3,53,78,50,6
3,55,78,54,55
4,2,76,-52,136
4,4,76,-48,21
4,52,76,48,21
4,54,76,52,136
5,3,74,-50,283
5,5,74,-46,66
5,7,74,-42,2
5,49,74,42,2
5,51,74,46,66
5,53,74,50,283
6,2,72,-52,1403
6,4,72,-48,848
6,6,72,-44,220
6,8,72,-40,14
6,48,72,40,14
6,50,72,44,220
6,52,72,48,848
6,54,72,52,1403
7,3,70,-50,5383
7,5,70,-46,2670
7,7,70,-42,746
7,9,70,-38,93
7,11,70,-34,8
7,45,70,34,8
7,47,70,38,93
7,49,70,42,746
7,51,70,46,2670
7,53,70,50,5383
8,4,68,-48,15090
8,6,68,-44,8236
8,8,68,-40,2651
8,10,68,-36,541
8,12,68,-32,99
8,14,68,-28,20
8,16,68,-24,8
8,18,68,-20,8
8,20,68,-16,4
8,22,68,-12,4
8,24,68,-8,4
8,26,68,-4,2
8,28,68,0,4
8,30,68,4,2
8,32,68,8,4
8,34,68,12,4
8,36,68,16,4
8,38,68,20,8
8,40,68,24,8
8,42,68,28,20
8,44,68,32,99
8,46,68,36,541
8,48,68,40,2651
8,50,68,44,8236
8,52,68,48,15090
9,3,66,-50,22048
9,5,66,-46,44570
9,7,66,-42,25697
9,9,66,-38,9428
9,11,66,-34,2712
9,13,66,-30,800
9,15,66,-26,280
9,17,66,-22,154
9,19,66,-18,112
9,21,66,-14,86
9,23,66,-10,70
9,25,66,-6,60
9,27,66,-2,52
9,29,66,2,52
9,31,66,6,60
9,33,66,10,70
9,35,66,14,86
9,37,66,18,112
9,39,66,22,154
9,41,66,26,280
9,43,66,30,800
9,45,66,34,2712
9,47,66,38,9428
9,49,66,42,25697
9,51,66,46,44570
9,53,66,50,22048
10,4,64,-48,112200
10,6,64,-44,135511
10,8,64,-40,80696
10,10,64,-36,33763
10,12,64,-32,12517
10,14,64,-28,4942
10,16,64,-24,2321
10,18,64,-20,1383
10,20,64,-16,1047
10,22,64,-12,820
10,24,64,-8,664
10,26,64,-4,612
10,28,64,0,526
10,30,64,4,612
10,32,64,8,664
10,34,64,12,820
10,36,64,16,1047
10,38,64,20,1383
10,40,64,24,2321
10,42,64,28,4942
10,44,64,32,12517
10,46,64,36,33763
10,48,64,40,80696
10,50,64,44,135511
10,52,64,48,112200
11,5,62,-46,383156
11,7,62,-42,409559
11,9,62,-38,256555
11,11,62,-34,121900
11,13,62,-30,54366
11,15,62,-26,26187
11,17,62,-22,14465
11,19,62,-18,9581
11,21,62,-14,7252
11,23,62,-10,5945
11,25,62,-6,5125
11,27,62,-2,4753
11,29,62,2,4753
11,31,62,6,5125
11,33,62,10,5945
11,35,62,14,7252
11,37,62,18,9581
11,39,62,22,14465
11,41,62,26,26187
11,43,62,30,54366
11,45,62,34,121900
11,47,62,38,256555
11,49,62,42,409559
11,51,62,46,383156
12,4,60,-48,239131
12,6,60,-44,1206280
12,8,60,-40,1233482
12,10,60,-36,817963
12,12,60,-32,437975
12,14,60,-28,226585
12,16,60,-24,125746
12,18,60,-20,78710
12,20,60,-16,55804
12,22,60,-12,44156
12,24,60,-8,37862
12,26,60,-4,34042
12,28,60,0,33562
12,30,60,4,34042
12,32,60,8,37862
12,34,60,12,44156
12,36,60,16,55804
12,38,60,20,78710
12,40,60,24,125746
12,42,60,28,226585
12,44,60,32,437975
12,46,60,36,817963
12,48,60,40,1233482
12,50,60,44,1206280
12,52,60,48,239131
13,5,58,-46,1488755
13,7,58,-42,3702380
13,9,58,-38,3696826
13,11,58,-34,2603021
13,13,58,-30,1556191
13,15,58,-26,910494
13,17,58,-22,566877
13,19,58,-18,388212
13,21,58,-14,294806
13,23,58,-10,243757
13,25,58,-6,216557
13,27,58,-2,204237
13,29,58,2,204237
13,31,58,6,216557
13,33,58,10,243757
13,35,58,14,294806
13,37,58,18,388212
13,39,58,22,566877
13,41,58,26,910494
13,43,58,30,1556191
13,45,58,34,2603021
13,47,58,38,3696826
13,49,58,42,3702380
13,51,58,46,1488755
14,6,56,-44,5878495
14,8,56,-40,11110932
14,10,56,-36,11044723
14,12,56,-32,8256170
14,14,56,-28,5438412
14,16,56,-24,3533298
14,18,56,-20,2412843
14,20,56,-16,1783588
14,22,56,-12,1430793
14,24,56,-8,1232790
14,26,56,-4,1134701
14,28,56,0,1099648
14,30,56,4,1134701
14,32,56,8,1232790
14,34,56,12,1430793
14,36,56,16,1783588
14,38,56,20,2412843
14,40,56,24,3533298
14,42,56,28,5438412
14,44,56,32,8256170
14,46,56,36,11044723
14,48,56,40,11110932
14,50,56,44,5878495
15,5,54,-46,1900599
15,7,54,-42,19863928
15,9,54,-38,32747408
15,11,54,-34,32822176
15,13,54,-30,26000800
15,15,54,-26,18640962
15,17,54,-22,13223821
15,19,54,-18,9770260
15,21,54,-14,7686801
15,23,54,-10,6470303
15,25,54,-6,5793771
15,27,54,-2,5490454
15,29,54,2,5490454
15,31,54,6,5793771
15,33,54,10,6470303
15,35,54,14,7686801
15,37,54,18,9770260
15,39,54,22,13223821
15,41,54,26,18640962
15,43,54,30,26000800
15,45,54,34,32822176
15,47,54,38,32747408
15,49,54,42,19863928
15,51,54,46,1900599
16,6,52,-44,13767220
16,8,52,-40,62513841
16,10,52,-36,94946110
16,12,52,-32,96733219
16,14,52,-28,81016346
16,16,52,-24,62525925
16,18,52,-20,47824490
16,20,52,-16,37753448
16,22,52,-12,31358340
16,24,52,-8,27542067
16,26,52,-4,25513029
16,28,52,0,24898490
16,30,52,4,25513029
16,32,52,8,27542067
16,34,52,12,31358340
16,36,52,16,37753448
16,38,52,20,47824490
16,40,52,24,62525925
16,42,52,28,81016346
16,44,52,32,96733219
16,46,52,36,94946110
16,48,52,40,62513841
16,50,52,44,13767220
17,7,50,-42,60747254
17,9,50,-38,187907223
17,11,50,-34,271246857
17,13,50,-30,282146061
17,15,50,-26,248883137
17,17,50,-22,204904538
17,19,50,-18,167122000
17,21,50,-14,139676247
17,23,50,-10,121589177
17,25,50,-6,110851403
17,27,50,-2,105890766
17,29,50,2,105890766
17,31,50,6,110851403
17,33,50,10,121589177
17,35,50,14,139676247
17,37,50,18,167122000
17,39,50,22,204904538
17,41,50,26,248883137
17,43,50,30,282146061
17,45,50,34,271246857
17,47,50,38,187907223
17,49,50,42,60747254
18,6,48,-44,11472474
18,8,48,-40,218592744
18,10,48,-36,545804287
18,12,48,-32,763629623
18,14,48,-28,812465442
18,16,48,-24,751392218
18,18,48,-20,654387389
18,20,48,-16,564049075
18,22,48,-12,494986020
18,24,48,-8,448674131
18,26,48,-4,422566453
18,28,48,0,414127868
18,30,48,4,422566453
18,32,48,8,448674131
18,34,48,12,494986020
18,36,48,16,564049075
18,38,48,20,654387389
18,40,48,24,751392218
18,42,48,28,812465442
18,44,48,32,763629623
18,46,48,36,545804287
18,48,48,40,218592744
18,50,48,44,11472474
19,7,46,-42,93374978
19,9,46,-38,706984827
19,11,46,-34,1540590744
19,13,46,-30,2116082102
19,15,46,-26,2303849591
19,17,46,-22,2222446972
19,19,46,-18,2032052145
19,21,46,-14,1836007197
19,23,46,-10,1679404150
19,25,46,-6,1575289568
19,27,46,-2,1524009301
19,29,46,2,1524009301
19,31,46,6,1575289568
19,33,46,10,1679404150
19,35,46,14,1836007197
19,37,46,18,2032052145
19,39,46,22,2222446972
19,41,46,26,2303849591
19,43,46,30,2116082102
19,45,46,34,1540590744
19,47,46,38,706984827
19,49,46,42,93374978
20,8,44,-40,449004734
20,10,44,-36,2134573414
20,12,44,-32,4239059273
20,14,44,-28,5763428568
20,16,44,-24,6415711266
20,18,44,-20,6422380633
20,20,44,-16,6120908242
20,22,44,-12,5754029341
20,24,44,-8,5447473430
20,26,44,-4,5253103347
20,28,44,0,5187222254
20,30,44,4,5253103347
20,32,44,8,5447473430
20,34,44,12,5754029341
20,36,44,16,6120908242
20,38,44,20,6422380633
20,40,44,24,6415711266
20,42,44,28,5763428568
20,44,44,32,4239059273
20,46,44,36,2134573414
20,48,44,40,449004734
21,7,42,-42,53792856
21,9,42,-38,1701336120
21,11,42,-34,6126639567
21,13,42,-30,11387501745
21,15,42,-26,15400893708
21,17,42,-22,17497758480
21,19,42,-18,18080576886
21,21,42,-14,17839604511
21,23,42,-10,17322796549
21,25,42,-6,16853030685
21,27,42,-2,16588540382
21,29,42,2,16588540382
21,31,42,6,16853030685
21,33,42,10,17322796549
21,35,42,14,17839604511
21,37,42,18,18080576886
21,39,42,22,17497758480
21,41,42,26,15400893708
21,43,42,30,11387501745
21,45,42,34,6126639567
21,47,42,38,1701336120
21,49,42,42,53792856
22,8,40,-40,479197598
22,10,40,-36,5634219727
22,12,40,-32,16874042348
22,14,40,-28,29868863708
22,16,40,-24,40292347972
22,18,40,-20,46601574901
22,20,40,-16,49440976528
22,22,40,-12,50165242993
22,24,40,-8,49954717108
22,26,40,-4,49569249635
22,28,40,0,49402063938
22,30,40,4,49569249635
22,32,40,8,49954717108
22,34,40,12,50165242993
22,36,40,16,49440976528
22,38,40,20,46601574901
22,40,40,24,40292347972
22,42,40,28,29868863708
22,44,40,32,16874042348
22,46,40,36,5634219727
22,48,40,40,479197598
23,9,38,-38,2461669449
23,11,38,-34,17064730629
23,13,38,-30,44827242221
23,15,38,-26,76443482181
23,17,38,-22,102964897022
23,19,38,-18,120839380231
23,21,38,-14,130905864785
